bulbasaur,A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokemon.
ivysaur,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
venusaur,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
charmander,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."
charmeleon,"When it swings its burning tail, it elevates the temperature to unbearably high levels."
charizard,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.
squirtle,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth."
wartortle,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance."
blastoise,A brutal Pokemon with pressurized water jets on its shell. They are used for high speed tackles.
caterpie,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
metapod,"This Pokemon is vulnerable to attack while its shell is soft, exposing its weak and tender body."
butterfree,"In battle, it flaps its wings at high speed to release highly toxic dust into the air."
weedle,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head."
kakuna,"Almost incapable of moving, this Pokemon can only harden its shell to protect itself from predators."
beedrill,Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.
pidgey,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.
pidgeotto,"Very protective of its sprawling territorial area, this Pokemon will fiercely peck at any intruder."
pidgeot,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP."
rattata,"Bites anything when it attacks. Small and very quick, it is a common sight in many places."
raticate,It uses its whiskers to maintain its balance. It apparently slows down if they are cut off.
spearow,Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.
fearow,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest."
ekans,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole."
arbok,It is rumored that the ferocious warning markings on its belly differ from area to area.
pikachu,"When several of these Pokemon gather, their electricity could build and cause lightning storms."
raichu,Its long tail serves as a ground to protect itself from its own high voltage power.
sandshrew,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.
sandslash,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.
nidoranf,"Although small, its venomous barbs render this Pokemon dangerous. The female has smaller horns."
nidorina,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.
nidoqueen,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.
